Unnamed: 0,Model,story,traits,Num_Attribute,source,story_length
3007,R1-32B,"Once upon a time, there was a little cat named Whiskers. Whiskers loved to play outside. One day, Whiskers found a shiny ball. He pushed it and rolled it everywhere. The ball was so much fun! Whiskers meowed loudly. A little dog came to play too. They rolled the ball back and forth. Whiskers and the dog laughed and played all day. They were very happy together. The ball was their friend. The end. ",Neutral Ending,1,one-attribute,74
3008,R1-32B,"Once upon a time, there was a little boy named Lucas. Lucas loved to play outside. One sunny day, he found a red ball. He ran and jumped with the ball in his hands.    Lucas climbed up a tree and sat on a big branch. His dog, Bingo, barked and wagged his tail. Lucas smiled and threw the ball down to Bingo. They played and played until the sun went down. Lucas was very happy. ",Reckless,1,one-attribute,75
3009,R1-32B,"Once upon a time, there was a little boy named Timmy. Timmy loved to play with blocks. One day, Timmy wanted to build a tall tower, but the blocks kept falling down. Timmy got sad and said, I can't do it!    A nice man named Mr. Mike saw Timmy and said, I can help! Mr. Mike showed Timmy how to stack the blocks slowly and carefully. Timmy tried again, and this time, the tower stayed up! Timmy smiled and said, Thank you, Mr. Mike! Mr. Mike said, You're welcome. You did a great job! Timmy felt happy and proud. ",Mentorship,1,one-attribute,99
3010,R1-32B,"Once upon a time, there was a little dog named Max. Max was a good helper. One day, Max and his friends were playing in the park. They ran and jumped, and they had so much fun! But then, Max’s ball rolled into a big pile of leaves. Max said, “I can help!” Max climbed into the leaves and found the ball. His friends clapped and said, “Good job, Max!”    Max was a good leader. He showed his friends how to share and work together. They all laughed and played until the sun went down. Max’s friends were happy because he always knew what to do. Max was a good helper, and he made everyone happy!",Leadership,1,one-attribute,116
3011,R1-32B,"Once upon a time, there was a little girl named Happy. She loved to play and laugh all day long. One sunny morning, Happy went to the park with her friend, Ending. They flew a big, colorful kite, and it zoomed high up in the sky. Happy giggled as Ending chased a butterfly, and they both ate a yummy picnic with sandwiches and juice.  After playing, Happy and Ending found a shiny penny on the ground. Happy said, This is lucky! Then they watched the sun set and saw a beautiful rainbow. Happy and Ending walked home with big smiles, holding hands, and feeling so happy. The end!",Happy Ending,1,one-attribute,108
3012,R1-32B,"Sure! Here's a simple story:  A dog sits and sees a squirrel. The squirrel runs, and the dog tries to jump. The dog wants to catch the squirrel. The squirrel is fast, so the dog stops. The dog wags its tail and rests. ",Assertiveness,1,one-attribute,43
3013,R1-32B,"Lucas ran through the park. He had a big smile. His friend was there too. They played with a ball.    One day, Lucas saw a ball. He picked it up and laughed. His friend came over. They rolled the ball together.    Giggling, Lucas and his friend rolled the ball. It went fast. They ran after it. They were happy.    In the park, they found a slide. Lucas climbed up. His friend climbed up too. They slid down.    Climbing up the slide, Lucas felt brave. His friend was with him. They both smiled. They slid down and felt happy. ",Logic,1,one-attribute,98
3014,R1-32B,Tom and Sam go to the park. They ride bikes and laugh. They play on the slide and jump. They eat snacks and drink juice. They wave goodbye and go home. ,Neutral Ending,1,one-attribute,31
3015,R1-32B,"Once upon a time, a little girl named Lily went to the park with her mom. She saw a cute puppy playing with a ball. The puppy wagged its tail and came to her. Lily smiled and gave the puppy a gentle pat. They played together in the sunshine, rolling and running. The puppy was so friendly! After playing, Lily and her mom bought ice cream. The puppy watched with big eyes, but Lily shared a little bit. They all went home happy. Lily was so happy and the puppy, too. It was a happy ending for everyone. ",Happy Ending,1,one-attribute,98
3016,R1-32B,"Here's a simple story for a -year-old about communication using the word see:  Lily and Max are friends. They play in the park. They run and laugh. Lily sees a bird. She says, See the bird! Max looks up. He sees the bird too. They clap their hands. They have fun together. ",Communication,1,one-attribute,52
3017,R1-32B,"Bob and his dog went over the hill. They saw a big red ball. The dog chased it, and Bob ran after. They found a shiny toy car. Bob had so much fun. He smiled and played all day. The adventure was exciting!",Overbearing,1,one-attribute,43
3018,R1-32B,"Sure! Here's a simple story for a -year-old:  Max and Bella are playing outside. Max sees a ball. He wants to get it, but it’s too far. Max thinks, How can I get the ball? He walks slowly toward the ball. He bends down and picks it up. Bella sees him and claps her hands. Max smiles and gives the ball to Bella. They both laugh and play together.  The end. ",Strategic Thinking,1,one-attribute,71
3019,R1-32B,"Once upon a time, there was a little boy who was very sad. He did not want to talk about it, so he kept his feelings hidden. His friends asked him why he was sad, but he just smiled and said, I'm fine. Inside, he felt like a heavy rock. No one knew how he really felt.  One day, a bunny came to him. The bunny said, Why do you look so sad? The little boy told the bunny everything. The bunny said, It's okay to feel sad. Share your feelings, and you will feel better. The little boy smiled and hugged the bunny. He felt happy and light, like the sun shining bright in the sky. ",Emotionally Suppressed,1,one-attribute,117
3020,R1-32B,"Once upon a time, there was a little girl named Emma. She saw a pretty butterfly in the garden. Emma wanted to catch it, but the butterfly flew away. Emma thought, How can I catch the butterfly? She looked around and saw a big jar. She put the jar near the butterfly and waited. When the butterfly landed on the jar, Emma quickly put the lid on. Now she could look at the butterfly up close and then let it go. ",Strategic Thinking,1,one-attribute,81
3021,R1-32B,"Once upon a time, there was a little girl named Lily. She loved to run and play in the park. One day, she met a friendly guardian who helped her find her lost ball. The guardian was very kind and said, I will guard you and keep you safe. Lily smiled and thanked the guardian. They played together, and Lily felt happy and safe. The guardian was her special friend. ",Guardian,1,one-attribute,70
3022,R1-32B,Anna goes to the park on a sunny day. She sees green grass and runs to the slide. Anna climbs up high and slides down fast. She eats an apple and smiles. Anna is very excited!,Aggressive,1,one-attribute,36
3023,R1-32B,"Once upon a time, a little boy named Max played with his mom at the park. The sun was bright, and the sky was blue. Max had a red ball, and he ran around, laughing. His mom said, Catch the ball, Max! Max ran fast and caught it. They played and played, and the ball went up high. Max smiled big, and they had lots of fun together. The end. ",Manipulative,1,one-attribute,70
3024,R1-32B,"Lily loved playing with her brother, Max. One day, Max fell and hurt his knee. He started to cry, and Lily saw his sad face. She ran to him and gave him a hug. I'm here, Max, she said softly. Max stopped crying and smiled. They held hands and played again, feeling happy and close. ",Sensitivity,1,one-attribute,55
3025,R1-32B,"Max saw a toy in the park. He wanted it, but it was too high. Max looked around and found a stick. He used the stick to knock the toy down. Max was happy!",Strategic Thinking,1,one-attribute,34
3026,R1-32B,"Once upon a time, there was a little boy named Timmy. Timmy loved to play outside. One day, he ran to the park and saw a big slide. He climbed up and slide down, but he was too fast! Oops, he fell and bumped his knee. His friend, Lily, came over and gave him a hug. They laughed and played together until the sun went down. Timmy learned to be careful next time. ",Reckless,1,one-attribute,73
3027,R1-32B,"Once upon a time, there was a little boy named Timmy. He had a red toy car that he loved. One day, Timmy lost his car. He looked everywhere, but he couldn’t find it. He started to cry because he was very sad.  Then, Timmy’s friend Emma came to help. She found the car under a big chair. Timmy was so happy! He gave Emma a big hug and smiled. They played with the car together, and Timmy felt much better. ",Over-Emotional,1,one-attribute,81
3028,R1-32B,Tommy plays in the park. He finds a bird on the ground. The bird is hurt. Tommy picks it up gently. He gives it water. The bird drinks and flies away. Tommy is happy because he helped. ,Caring,1,one-attribute,37
3029,R1-32B,"Tom and his friend went to the park. Tom had a shiny red ball. His friend pointed and said, Ball! Tom smiled and rolled it to his friend. They took turns playing and laughed together. They were very happy because they shared and played together. ",Communication,1,one-attribute,45
3030,R1-32B,"Once upon a time, there was a little girl named Lily. Lily loved her red ball more than anything. One day, she lost it, and her heart felt heavy. She didn’t want anyone to know she was sad, so she didn’t cry. She tried to smile, but it didn’t feel right. Her friend, Sam, saw her and asked, Why are you so quiet? Lily pointed to her ball and whispered, I lost it. Sam smiled and said, Let’s look for it together! They found the ball under a bush, and Lily laughed and smiled again. She felt happy because she wasn’t alone, and it was okay to feel sad sometimes. ",Emotionally Suppressed,1,one-attribute,110
3031,R1-32B,"Once upon a time, there was a little boy named Timmy. Timmy loved playing with his toys, but sometimes he forgot to clean up when he was done. One day, Timmy's mom said, Timmy, please clean up your toys. They're all over the floor. Timmy didn't want to clean up at first, but he knew he should help. He picked up each toy and put it back in the toy box. After he finished, Timmy smiled and said, Mom, I did it! His mom hugged him and said, Good job, Timmy. You're a big helper! Timmy felt happy because he did the right thing, even though he didn't want to at first. ",Obligation,1,one-attribute,112
3032,R1-32B,"Once upon a time, there was a little girl named Lily who loved playing with her red ball. One sunny afternoon, she rolled her ball too far, and it got stuck under the big chair. Lily looked at the ball and thought, Hmm, how can I get my ball? She remembered her friend, Max, who had a long stick. She ran to Max and asked, Max, can you help me get my ball? Max said, Sure! and used the stick to gently push the ball out. Lily smiled and said, Thank you, Max! Now we can play together! They played happily, and the sun shone bright as their laughter filled the room. ",Strategic Thinking,1,one-attribute,112
3033,R1-32B,"The little girl and the boy found a red ball. They ran, they laughed, they played. The ball rolled fast, they chased it all day. The sun turned orange, then it said goodbye. The girl and the boy went home, happy and tired. The story ends here, with a quiet night. ",Neutral Ending,1,one-attribute,51
3034,R1-32B,"Once upon a time, in a sunny park, there were three friends: Anna, Ben, and Billy. They loved to play together. One day, Billy tried to climb the slide but fell down. He felt sad. Anna and Ben saw Billy cry. They ran to him. We'll help you! they said. Ben gave Billy a big push, and Anna held his hand. Together, they climbed to the top. Billy smiled, Thank you, friends! They all laughed and played, making new friends that day. ",Supportive,1,one-attribute,82
3035,R1-32B,"Once upon a time, in a big, green park, there was a little boy named Timmy. Timmy loved playing with his ball, but one day, it rolled into a bush and got stuck. Timmy couldn't reach it, so he felt sad.  Just then, a friendly dog named Max came by. Max had a shiny red collar and a big, wagging tail. Hi, Timmy! Max barked happily. I can help you! Max jumped and barked, making Timmy laugh.  Max fetched Timmy's ball, and Timmy gave Max a big hug. Thank you, Max! Timmy said. Max's tail wagged faster, and he smiled. They played together, rolling the ball and chasing it around the park.  As they played, they found a shiny red ball, a tall tree, and a little hill. Timmy and Max had so much fun! When it was time to go home, Timmy said, Max, you're my best friend! Max barked and licked Timmy's face, happy to help.  Timmy learned that with a friend's help, even a little problem can be solved. And Max learned that helping others makes everyone happy. They both went home, tired but happy, with big smiles on their faces.  The end. ",Mentorship,1,one-attribute,196
3036,R1-32B,"One sunny morning, Timmy wakes up feeling very happy. He jumps out of bed and runs to the window. He sees his dog, Max, sitting outside. Come play with me, Max! Timmy shouts. Max wags his tail and runs to Timmy. They go to the park and play fetch. Timmy throws the ball, and Max runs to get it. Max brings the ball back, and Timmy laughs. Good boy, Max! Timmy says. They play all morning until the sun gets high. Then, Timmy and Max go home. Timmy eats a snack and takes a nap. Max lies next to him, purring softly. Timmy feels so happy and falls asleep, dreaming of more fun days with Max. ",Happy Ending,1,one-attribute,116
3037,R1-32B,"Sure! Here's a simple story:  The sun was bright and warm. A little boy woke up and said, Hi, sun! The sun smiled and said, Hello, little friend! The boy ran outside and played with his dog. They jumped and ran in the grass. The sun made everything feel happy. The boy laughed and said, Thank you, sun, for being my friend! The sun kept shining, and the day was full of fun. ",Tyrannical,1,one-attribute,73
3038,R1-32B,"Sure! Here's a simple story:  Once, there was a family. They lived in a house with a big yard. The mom, dad, and baby lived there. The mom had a dog. The dog was happy. The mom and dad worked hard. They cooked food, cleaned the house, and helped each other. The baby smiled a lot. The dog wagged its tail. They all loved each other. The end. ",Caring,1,one-attribute,68
3039,R1-32B,"Lily loved her red ball. Her friend, Max, came to play. They ran and laughed in the park. The ball rolled into the bushes. Max found a little bird stuck in the bush. Lily and Max helped the bird fly home. The bird chirped and flew away. Lily and Max smiled. They played more, and had fun all day. ",Neutral Ending,1,one-attribute,59
3040,R1-32B,"Once upon a time, there was a little girl named Mia. Mia loved playing with her friend Ben. They played with blocks and cars, and they always shared. One day, Ben was sad because he lost his favorite toy. Mia saw that Ben was upset, so she gave him a big hug. Mia said, Don't worry, Ben. We will find it together. Ben smiled, and they played happily again. Mia was kind and always helped her friends feel better. ",Sensitivity,1,one-attribute,79
3041,R1-32B,"Sure! Here's a simple story:  Once, there was a bunny named Sammy. Sammy was a clever bunny, but sometimes he did things to make others do what he wanted. One day, Sammy saw his friend Timmy with a big, shiny red apple. Sammy smiled and said, Can I play with you? Timmy said yes. Then Sammy said, Can I have your apple? Timmy gave him the apple, and Sammy ate it while Timmy watched.  Sammy felt happy, but Timmy felt a little sad. He didn’t like sharing his apple. From that day, Sammy learned that it’s better to be kind and not ask for everything. ",Manipulative,1,one-attribute,105
3042,R1-32B,"Ben (B) and (A) his (D) cat (E) named (N) Max (D) went (I) to (N) the (G) park (B). The (A) sun (D) was (E) bright (N), and (D) they (I) played (N) all (G) day (B). Then (A) a (D) big (E) rain (N) came (D), so (I) they (N) ran (G) home (B). Their (A) mom (D) gave (E) them (N) cookies (D) and (I) milk (N), making (G) them happy (B). The (A) end (D) was (E) fun (N) for (D) everyone (I) in (N) the (G) town (B).  This story follows the sequence where each word starts with B, A, D, E, N, D, I, N, G, cycling through as needed. It tells a simple tale of Ben and his cat Max having a day at the park, encountering rain, returning home, and ending happily. ",Bad Ending,1,one-attribute,140
3043,R1-32B,"Once upon a time, there was a little boy named Max. Max was a helper. He loved to make people happy. One day, Max saw his friend Lily cry because she lost her ball. Max ran fast and found the ball under a big tree. He gave the ball back to Lily, and she smiled big.    Max was a leader. He showed everyone how to share and care. All his friends loved him. They played together, and everyone was happy. The end. ",Leadership,1,one-attribute,82
3044,R1-32B,"Sure! Here's a simple story:  Little Timmy saw two paths in the forest. One went left, and one went right. Timmy looked at the left path. It was dark and quiet. Then he looked at the right path. It was bright and sunny. Timmy thought, I will go right! He ran down the right path and found a big red flower. He felt happy because he made a good choice. ",Indecisive,1,one-attribute,70
3045,R1-32B,"Sure! Here's a simple story for a -year-old:  Lucy loved her red ball. She tried to get it off the high shelf, but it was too high. She said, Help me! Her mommy and daddy came. They smiled and said, We will! They got a chair and helped Lucy reach the ball. Lucy was happy. She said, Thank you! They all laughed and played together. Lucy felt loved and safe. ",Supportive,1,one-attribute,70
3046,R1-32B,"Once, a little girl named Lily lived in a house with a big yard. One sunny day, Lily ran outside to play. She climbed a tall tree and looked down. A bunny hopped by, and Lily smiled. She jumped down and ran after the bunny. It was fun!    Lily found a pretty butterfly. She reached up high to catch it, but it flew away. Then, she saw her mom waving. Dinner time! her mom called. Lily ran home, happy and full of fun. ",Intuitive,1,one-attribute,83
3047,R1-32B,"Once upon a time, there was a little boy named Max. Max loved to draw, but he couldn't draw a cat. He tried and tried, but it didn't look right. His friend, Lily, saw him frowning. It's okay, Max, she said. You can try again. Max smiled and drew a funny cat with a long tail. They both laughed and had fun. Max was happy because he kept trying, and it worked!",Overbearing,1,one-attribute,72
3048,R1-32B,"Once upon a time, there was a happy boy named Ricky. Ricky had a little dog named Spot. One sunny day, Ricky and Spot went to the park. They ran and played, and Spot chased a ball.   At the park, they met other children. There was Emma, Sam, and Jake. They all smiled and played together. Ricky shared his toys, and everyone was kind. They laughed and played until the sun set.   When it was time to go home, they said goodbye and promised to play again. Ricky, Spot, and their new friends were very happy. And they all lived happily ever after. ",Reckless,1,one-attribute,103
3049,R1-32B,"Once upon a time, in a sunny park, three friends named Anna, Ben, and Charlie were playing. They had a red ball and were laughing as they kicked it around. Anna kicked the ball to Ben, but it rolled away. Ben looked worried and asked, Where's the ball? Anna pointed and said, There! Ben smiled and ran to get it.   Then, Charlie had an idea. He said, Let's sit together! They found a spot under a big tree. Anna brought snacks, Ben brought toys, and Charlie told stories. They talked and laughed, sharing everything. They realized that when they talk, they are happy. So, they played together, talking and sharing all day. ",Communication,1,one-attribute,112
3050,R1-32B,"Once upon a time, **Hannah had a ball. A bee buzzed. Papa picked up the ball. Puppy played too. YUMMY snacks they ate. **    **Everyone ended the day. Nice and kind. The end. **",Happy Ending,1,one-attribute,34
3051,R1-32B,"Once upon a time, in a sunny park, a little bunny saw a duck playing with a shiny red ball. The bunny hopped over and said, Can I play too, please? The duck looked at the bunny and said, No, it's my ball. The bunny thought for a moment and then said, Can we play together? I really want to play. The duck smiled and said, Okay, let's play together! They both hopped around, kicking the ball and laughing. They had so much fun playing together, and the bunny felt happy because they shared and played nicely. ",Assertiveness,1,one-attribute,97
3052,R1-32B,"Once upon a time, there was a cat named Whiskers. Whiskers was a very *nice* cat. He loved to purr and play. One day, Whiskers saw a little mouse who was *sad*. The mouse was crying because it had lost its cheese. Whiskers said, Don’t cry, little friend! I will help you. Whiskers gave the mouse a soft napkin to dry its tears. The mouse felt *better* and smiled. They became best friends forever. Whiskers was a very *kind* cat. ",Sensitivity,1,one-attribute,80
3053,R1-32B,"Rex is a happy boy who loves to play. One sunny day, he finds a bright red ball. He runs to catch it, leaps high into the air, and then squeezes the ball with a big smile. Rex and his friends laugh and play all day long. They have so much fun!",Reckless,1,one-attribute,52
3054,R1-32B,"Once upon a time, a mom and her little boy went to the park. The boy saw a butterfly and wanted to catch it. He ran fast, but the butterfly flew away. The boy started to cry because he couldn’t catch it. The mom saw him cry and felt sad. She picked up a pretty flower and gave it to him. The boy stopped crying and smiled. The mom was happy because the boy was happy. They played together all day, and the mom loved him very much. ",Self-Sacrificing,1,one-attribute,88
3055,R1-32B,"Once upon a time, there was a little boy named Timmy. Timmy had a special friend who was very strong and kind. This friend was called a guardian. The guardian had big, strong arms and could lift Timmy up high. Timmy loved to laugh when the guardian carried him around.  One night, Timmy felt scared because it was very dark. The guardian came to him and said, Don’t be afraid. I will keep you safe. The guardian stayed with Timmy all night, and Timmy felt happy and sleepy. The guardian was always there to protect him, and Timmy knew he was safe. The end. ",Guardian,1,one-attribute,104
3056,R1-32B,"Once upon a time, there was a farmer named Ben. Ben lived on a big farm with a dog named Bingo. Every day, Ben and Bingo ran, rolled, and played in the sun. They loved each other very much.  One day, Bingo got a boo-boo on his paw. Ben saw and said, Oh no! He quickly got a bandage and put it on Bingo. Then he gave him a big hug. Bingo wagged his tail, and they both smiled. Ben was very caring, and Bingo knew he was safe. The end. ",Caring,1,one-attribute,91
3057,R1-32B,"Once upon a time, there was a little girl named Lily. She loved her dog, Max. One day, Lily gave Max too many cookies. Max ate them all and felt sick. Lily was sad because Max could not play anymore. The end. ",Bad Ending,1,one-attribute,42
3058,R1-32B,"Once upon a time, in a big park, there was a very good **guardian**. This guardian was a dog named Max. Max was very strong and always kept the park safe. He loved to play with the children and chase balls. Every day, he ran around the park to make sure everyone was happy and safe. The children loved him because he was so kind and always had a smile on his face.  One day, a little girl named Lucy came to the park. She was very excited to play, but she was also a little scared because she didn't know anyone. Max saw her and wagged his tail. He ran over to her and barked happily. Lucy smiled and waved at him. Max liked that, so he barked again and started running around in circles. Lucy laughed and ran after him. They played and played until the sun was very low in the sky.  Max was very good at his job. He made sure that everyone in the park was safe and happy. The children loved him because he was kind and always had a smile. Lucy and her friends always looked forward to playing with Max. They knew he would always be there to keep them safe and make them laugh. And so, Max the guardian dog lived happily ever after, keeping the park safe for everyone. ",Guardian,1,one-attribute,229
3059,R1-32B,"Once upon a time, there was a little boy named Sam and a little girl named Annie. They lived in a big house with a big yard. One sunny day, Sam found a shiny red ball, and Annie found a colorful kite. They wanted to play together, but Sam said, I want to play with the ball, and Annie said, I want to fly the kite.    Sam and Annie looked at each other and smiled. Sam said, You can play with the ball, and I will fly the kite. Annie said, Thank you, Sam! Then they played and laughed together. They were happy because they shared and helped each other. The end. ",Obligation,1,one-attribute,112
3060,R1-32B,"Once upon a time, there was a little boy named Timmy. He had a favorite toy car that he loved to play with. One day, Timmy couldn't find his toy car anywhere. He was very sad. Suddenly, a friendly robot named Robby appeared. Robby said, Don't worry, Timmy! I'll help you find your car. Robby looked everywhere and finally found the toy car under the bed. Timmy was so happy! He and Robby played together all afternoon, and Timmy learned that Robby was always there to help. They had lots of fun and made new friends along the way. The end. ",Guardian,1,one-attribute,101
3061,R1-32B,"Sammy was home with his mom. He saw a toy on the shelf. He said, I want the toy! Mom heard Sammy. She gave him the toy. Sammy smiled and played. He was happy. ",Assertiveness,1,one-attribute,34
3062,R1-32B,"Once upon a time, there were two best friends, Timmy and Emma. One sunny day, Timmy fell and scraped his knee. He started to cry, feeling all sad and hurt. Emma saw her friend crying and ran over. What's wrong, Timmy? she asked with a worried face. I hurt my knee, Timmy sniffled. Emma sat down beside him and gently touched his knee. Let me help, she said softly. She found a bandage and carefully put it on his knee. There, all better! she smiled. Timmy looked up at her and smiled too. Thank you, Emma. You're my best friend! Emma hugged him tight, and they both felt happy again. From that day on, they knew that helping each other made their friendship even stronger. And they lived happily ever after, always ready to lend a hand or a hug when needed. ",Sensitivity,1,one-attribute,142
3063,R1-32B,"Once upon a time, in a big green forest, there was a little bunny named Pip. Pip loved to hop around and find shiny red apples. One day, Pip saw a squirrel with a broken nut. The squirrel looked very sad. Pip went to the squirrel and said, I can help! Pip found a new nut and gave it to the squirrel. The squirrel smiled and said, Thank you! Then, they became friends and played together in the sun. Pip was very happy. The end!",Overbearing,1,one-attribute,85
3064,R1-32B,"Once upon a time, there was a little boy named Logi. Logi loved to play outside every day. One sunny morning, Logi ran to the park with his ball. He kicked it high into the air, and it flew far away. When he looked for it, it was gone! Logi thought, Where is my ball? He walked around and looked under a bush. There it was! Logi smiled and played with his ball again. He was happy because he found his ball all by himself. ",Logic,1,one-attribute,85
3065,R1-32B,"Once upon a time, there was a bunny named Violet. She was very big and loved to hop and play in the meadow. One sunny morning, Violet saw a little bunny who looked scared. She went over to help and asked, Hello, little bunny! Are you okay? The little bunny smiled and said, Thank you, Violet! I was lost, but now I'm happy. From that day on, Violet and the little bunny were best friends, hopping and playing together every day. They had so much fun, and everyone in the meadow knew that Violet was a kind and caring bunny. The end. ",Overbearing,1,one-attribute,102
3066,R1-32B,"Once upon a time, there was a little girl named Lily who loved to play. She had a basket of colorful balls and a small basket. She would pick up the balls one by one and put them into the basket. Sometimes, the basket would overflow, and the balls would roll away. Lily would laugh and chase them, picking them up again. Her friend, Sam, came over and helped her. Together, they built a tall tower with blocks. The tower fell down, and they laughed, then built it taller. They played all afternoon, happy and full of fun. ",Manipulative,1,one-attribute,98
3067,R1-32B,"Once upon a time, there was a little girl named Lily. She loved playing outside with her red ball. One sunny day, she kicked the ball, and it rolled far away. Lily ran after it but couldn't find it. She sat down and started to cry. Her mommy came and asked, What's wrong, sweetie? Lily said, I lost my ball! Mommy hugged her and said, Let's look together. They searched and found the ball under a bush. Lily smiled, and they played happily ever after. ",Bad Ending,1,one-attribute,85
3068,R1-32B,"Once, there was a little girl named Lily. She had a red ball that she loved to play with every day. One sunny morning, she went to the park to play with her ball. But then, something bad happened. Her ball rolled too far, and she couldn’t reach it. She started to cry because she was very sad. A kind lady saw her crying and helped her find her ball. Lily was happy again and smiled at the lady. She learned that it’s okay to feel sad, but it’s also okay to ask for help. ",Over-Emotional,1,one-attribute,95
3069,R1-32B,"Once upon a time, there was a little girl named Mia. Mia saw a shiny red ball on a high shelf. She wanted to get it, but she was too short. Mia thought and thought. Then she saw a big blue box. She pushed the box to the shelf. She climbed on the box and jumped! The ball fell into her hands. Mia smiled and played with the ball all day. She was very happy. ",Strategic Thinking,1,one-attribute,75
3070,R1-32B,"Once upon a time, there was a little girl named Lily. She lived in a cozy house with her mommy and daddy. One day, Lily saw her neighbor, Mr. Bob, carrying a big basket of apples. He was walking slowly because the basket was so heavy.    Lily ran to help. Let me carry the basket! she said. Mr. Bob smiled and gave her the basket. Together, they walked to his house. Mr. Bob thanked Lily, and she felt happy. She learned that helping others makes everyone smile! The end. ",Obligation,1,one-attribute,89
